id	codigo	descripcion	detalle_programa
1	01GEN	Masculino	Conosca a su cliente, genero masculino
2	02GEN	Femenino	Conosca a su cliente, genero femenino
3	03GEN	Otro	Conosca a su cliente, genero otro
4	04ECL	Solteroa	Conosca a su cliente, estado civil Soltero
5	05ECL	Casadoa	Conosca a su cliente, estado civil Casado
6	06PRO	Abogado	Conosca a su cliente, profesion Abogado 
7	07PRO	Actuario	Conosca a su cliente, profesion Actuario 
8	08PRO	Agencia de Seguridad	Conosca a su cliente, profesion Agencia de Seguridad 
9	09PRO	Agente Deportivo	Conosca a su cliente, profesion Agente Deportivo 
10	10PRO	Agente Inmobiliario	Conosca a su cliente, profesion Agente Inmobiliario 
11	11PRO	Agricultor	Conosca a su cliente, profesion Agricultor 
12	12PRO	Almacenamiento	Conosca a su cliente, profesion Almacenamiento 
13	13PRO	Ama de Casa	Conosca a su cliente, profesion Ama de Casa 
14	14PRO	Arte	Conosca a su cliente, profesion Arte 
15	15PRO	Asalariado	Conosca a su cliente, profesion Asalariado 
16	16PRO	Asesor Fiscal / Financiero	Conosca a su cliente, profesion Asesor Fiscal / Financiero 
17	17PRO	Asesora de Inversión	Conosca a su cliente, profesion Asesora de Inversión 
18	18PRO	Banca y Finanzas	Conosca a su cliente, profesion Banca y Finanzas 
19	19PRO	Cadena de Restaurantes	Conosca a su cliente, profesion Cadena de Restaurantes 
20	20PRO	Casa de Cambio	Conosca a su cliente, profesion Casa de Cambio 
21	21PRO	Casa de Empeño	Conosca a su cliente, profesion Casa de Empeño 
22	22PRO	Casa de Remesas	Conosca a su cliente, profesion Casa de Remesas 
23	23PRO	Casa de Valores	Conosca a su cliente, profesion Casa de Valores 
24	24PRO	Casino	Conosca a su cliente, profesion Casino 
25	25PRO	Coaching	Conosca a su cliente, profesion Coaching 
26	26PRO	Comunicación y Telefonía	Conosca a su cliente, profesion Comunicación y Telefonía 
27	27PRO	Concesionario de Autos	Conosca a su cliente, profesion Concesionario de Autos 
28	28PRO	Construcción	Conosca a su cliente, profesion Construcción 
29	29PRO	Consultor de Riesgo	Conosca a su cliente, profesion Consultor de Riesgo 
30	30PRO	Contador	Conosca a su cliente, profesion Contador 
31	31PRO	Cooperativas de Ahorro y Crédito	Conosca a su cliente, profesion Cooperativas de Ahorro y Crédito 
32	32PRO	Corredor Bienes Raíces	Conosca a su cliente, profesion Corredor Bienes Raíces 
33	33PRO	Corredor de Bolsa	Conosca a su cliente, profesion Corredor de Bolsa 
34	34PRO	Corredor de Seguros	Conosca a su cliente, profesion Corredor de Seguros 
35	35PRO	Correos y Telégrafos	Conosca a su cliente, profesion Correos y Telégrafos 
36	36PRO	Cumplimiento Normativo	Conosca a su cliente, profesion Cumplimiento Normativo 
